,artist_name,track_name,track_id,popularity
27,Roddy Ricch,Start Wit Me (feat. Gunna),7A20WnLkjtZU2d7hIB6Ziu,79
28,Roddy Ricch,Tip Toe (feat. A Boogie Wit da Hoodie),6ztvsy3C6hPjVg9j4x1XKJ,78
29,Roddy Ricch,Bacc Seat (feat. Ty Dolla $ign),6In6SkveIw26thdYRhHTVX,78
30,Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,97
31,Dua Lipa,Break My Heart,1raaNykBg1bDnWENUiglUA,88
32,Dua Lipa,Physical,3AzjcOeAmA57TIOr9zF1ZW,89
35,Dua Lipa,Levitating,39LLxExYz6ewLAcYrzQQyP,84
37,Dua Lipa,Hallucinate,1nYeVF5vIBxMxfPoL0SIWg,83
38,Dua Lipa,Pretty Please,6DXZiYUbrYgrVIhfX3U9Z2,82
39,Dua Lipa,Cool,2nMOodYNHBAQ3Kc1QNimZU,82
40,Drake,The Future of the Future (feat. Cassettes Won't Listen),23wcSHpB9lRJ4NgfOSc9eU,1
41,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,95
42,Sam Feldt,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,82
43,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,87
44,Post Malone,Wow.,7xQAfvXzm3AkraOtGPWIZg,87
45,Post Malone,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,85
46,Post Malone,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,88
47,Post Malone,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,87
48,Justin Bieber,Forever (feat. Post Malone & Clever),2ZlCGeK30BLRNSPC832pNZ,87
49,Post Malone,Better Now,7dt6x5M1jzdTEt8oCbisTK,86
50,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,84
51,Harry Styles,Adore You,1M4qEo4HE3PRaCOM7EXNJq,90
52,Harry Styles,Falling,1ZMiCix7XSAbfAJlEZWMCp,88
54,Harry Styles,Lights Up,4jAIqgrPjKLTY9Gbez25Qb,86
55,Harry Styles,Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,84
57,Harry Styles,"Sunflower, Vol. 6",6iYMfxznTBlcVOgRHab2W0,79
58,Harry Styles,Golden,45S5WTQEGOB1VHr1Q4FuPl,80
59,Harry Styles,Cherry,2IOFZdYYkFxEHVz1w34PoL,79
60,Harry Styles,To Be So Lonely,5JiH89mHrv9oWHlD0T326z,79
61,Doja Cat,Say So,3Dv1eDb0MEgF93GpLXlucZ,97
62,Doja Cat,Boss Bitch,78qd8dvwea0Gosb6Fe6j3k,93
63,Doja Cat,Like That (feat. Gucci Mane),4EivmOT13NMpNSfTKn9p4s,89
64,Doja Cat,Cyber Sex,1ghvzmzpx2nnrbx7wtpMgo,82
65,Doja Cat,Candy,1VJwtWR6z7SpZRwipI12be,82
